Val,In,Us,Jp,NewCh,NewDe,NewFr,NewIt,NewJp,NewKr,NewSp,NewUs
30,U+0000,U+0000,U+0000,U+0000,U+0030,U+0000,U+0000,U+0000,U+0000,U+0000,U+0030
31,U+0000,U+0000,U+0000,U+0000,U+0031,U+0000,U+0000,U+0000,U+0000,U+0000,U+0031
32,U+0000,U+0000,U+0000,U+0000,U+0032,U+0000,U+0000,U+0000,U+0000,U+0000,U+0032
33,U+0000,U+0000,U+0000,U+0000,U+0033,U+0000,U+0000,U+0000,U+0000,U+0000,U+0033
34,U+0000,U+0000,U+0000,U+0000,U+0034,U+0000,U+0000,U+0000,U+0000,U+0000,U+0034
35,U+0000,U+0000,U+0000,U+0000,U+0035,U+0000,U+0000,U+0000,U+0000,U+0000,U+0035
36,U+0000,U+0000,U+0000,U+0000,U+0036,U+0000,U+0000,U+0000,U+0000,U+0000,U+0036
37,U+0000,U+0000,U+0000,U+0000,U+0037,U+0000,U+0000,U+0000,U+0000,U+0000,U+0037
38,U+0000,U+0000,U+0000,U+0000,U+0038,U+0000,U+0000,U+0000,U+0000,U+0000,U+0038
39,U+0000,U+0000,U+0000,U+0000,U+0039,U+0000,U+0000,U+0000,U+0000,U+0000,U+0039
3A,U+0000,U+0000,U+0000,U+0000,U+0020,U+0000,U+0000,U+0000,U+0000,U+0000,U+0020
3B,U+0000,U+0000,U+0000,U+0000,U+0021,U+0000,U+0000,U+0000,U+0000,U+0000,U+0021
3C,U+0000,U+0000,U+0000,U+0000,U+0022,U+0000,U+0000,U+0000,U+0000,U+0000,U+0022
3D,U+0000,U+0000,U+0000,U+0000,U+0023,U+0000,U+0000,U+0000,U+0000,U+0000,U+0023
3E,U+0000,U+0000,U+0000,U+0000,U+0024,U+0000,U+0000,U+0000,U+0000,U+0000,U+0024
3F,U+0000,U+0000,U+0000,U+0000,U+0025,U+0000,U+0000,U+0000,U+0000,U+0000,U+0025
40,U+0000,U+0000,U+0000,U+0000,U+0026,U+0000,U+0000,U+0000,U+0000,U+0000,U+0026
41,U+0000,U+0000,U+0000,U+0000,U+0027,U+0000,U+0000,U+0000,U+0000,U+0000,U+0027
42,U+0000,U+0000,U+0000,U+0000,U+0028,U+0000,U+0000,U+0000,U+0000,U+0000,U+0028
43,U+0000,U+0000,U+0000,U+0000,U+0029,U+0000,U+0000,U+0000,U+0000,U+0000,U+0029
44,U+0000,U+0000,U+0000,U+0000,U+002A,U+0000,U+0000,U+0000,U+0000,U+0000,U+002A
45,U+0000,U+0000,U+0000,U+0000,U+002B,U+0000,U+0000,U+0000,U+0000,U+0000,U+002B
46,U+0000,U+0000,U+0000,U+0000,U+002C,U+0000,U+0000,U+0000,U+0000,U+0000,U+002C
47,U+0000,U+0000,U+0000,U+0000,U+002D,U+0000,U+0000,U+0000,U+0000,U+0000,U+002D
48,U+0000,U+0000,U+0000,U+0000,U+002E,U+0000,U+0000,U+0000,U+0000,U+0000,U+002E
49,U+0000,U+0000,U+0000,U+0000,U+002F,U+0000,U+0000,U+0000,U+0000,U+0000,U+002F
4A,U+0000,U+0000,U+0000,U+0000,U+003A,U+0000,U+0000,U+0000,U+0000,U+0000,U+003A
