"Name","Location","Type","Namespace","Source"
"AsmEmuInit","0042ee40","Function","Global","User Defined"
"AsmEmuPrintVec","0042ee80","Function","Global","User Defined"
"AsmEmuSetFuncParam0","0042eec0","Function","Global","User Defined"
"AsmEmuSetFuncParam1","0042eed0","Function","Global","User Defined"
"AsmEmuSetFuncParam2","0042eee0","Function","Global","User Defined"
"AsmEmuSetFuncParam3","0042eef0","Function","Global","User Defined"
"restoreVf00Register","0042ef00","Function","Global","User Defined"
"setSSFlag","0042ef20","Function","Global","User Defined"
"setZSFlag","0042ef30","Function","Global","User Defined"
"PhyreFree","0042fc00","Function","Phyre","User Defined"
"PhyreMalloc","0042fc60","Function","Phyre","User Defined"
"PhyrePrintf","004353f0","Function","Phyre","User Defined"
"setCurrentMagicPath","00445dc0","Function","PhyreScene","User Defined"
"GetStreamPrefix","00607ef0","Function","Phyre::PSerialization::PStreamFile","User Defined"
"closeFile","00607f40","Function","Phyre::PSerialization::PStreamReaderFile","User Defined"
"GetApplication","00623d50","Function","Phyre::PFramework::PApplication","User Defined"
"FlushCache","0062f670","Function","Global","User Defined"
"dbgPrintf","0062f6b0","Function","Global","User Defined"
"debug_exit_trace","0062f6c0","Function","Global","User Defined"
"sceClose","0062f7c0","Function","Global","User Defined"
"sceDmaGetChan","0062f890","Function","Global","User Defined"
"sceDmaSendN","0062f8d0","Function","Global","User Defined"
"sceDmaSync","0062f8e0","Function","Global","User Defined"
"sceGsResetPath","0062f980","Function","Global","User Defined"
"sceGsSyncPath","0062fa30","Function","Global","User Defined"
"sceGsSyncV","0062fa40","Function","Global","User Defined"
"sceWrite","0062ff70","Function","Global","User Defined"
"operator.new[]","00630670","Function","Global","User Defined"
"graphicCameraGetFOVy","00639720","Function","Global","User Defined"
"graphicGetCurrentLanguageType","00641290","Function","Global","User Defined"
"graphicInitialize","00641b80","Function","Global","User Defined"
"graphicIsMagicFileAsyncLoadAvailable","00641e10","Function","Global","User Defined"
"graphicLevelGetNameHash","00641f50","Function","Global","User Defined"
"graphicMagicGetToBeDeletePath","006421f0","Function","Global","User Defined"
"graphicMagicSetPath","00642200","Function","Global","User Defined"
"graphicMagicSetToBeDeletePath","00642220","Function","Global","User Defined"
"graphicMagicVFXLoadTexture","00642260","Function","Global","User Defined"
"graphicMenuLoadSpecialTexture","006424b0","Function","Global","User Defined"
"graphicMenuUnloadSpecialTexture","00642540","Function","Global","User Defined"
"graphicSetBackgroundColour","00643040","Function","Global","User Defined"
"graphicSetChrFogFade","006430c0","Function","Global","User Defined"
"graphicSetGameOverNotify","00643410","Function","Global","User Defined"
"graphicSetMagicFileAsyncLoadEnable","00643790","Function","Global","User Defined"
"SaveDataTtyWrite2","00648a00","Function","Global","User Defined"
"getCurrentLevelNameHash","0065e010","Function","PhyreScene","User Defined"
"loadMagicVFXTexture","00664f10","Function","PhyreScene","User Defined"
