"Name","Location","Type","Namespace","Source"
"AsmEmuInit","0042ee40","Function","Global","User Defined"
"AsmEmuPrintVec","0042ee80","Function","Global","User Defined"
"AsmEmuSetFuncParam0","0042eec0","Function","Global","User Defined"
"AsmEmuSetFuncParam1","0042eed0","Function","Global","User Defined"
"AsmEmuSetFuncParam2","0042eee0","Function","Global","User Defined"
"AsmEmuSetFuncParam3","0042eef0","Function","Global","User Defined"
"restoreVf00Register","0042ef00","Function","Global","User Defined"
"setSSFlag","0042ef20","Function","Global","User Defined"
"setZSFlag","0042ef30","Function","Global","User Defined"
"PostReset","0042fb50","Function","Global","User Defined"
"PhyreFree","0042fc00","Function","Phyre","User Defined"
"PhyreMalloc","0042fc60","Function","Phyre","User Defined"
"Sleep","00430120","Function","Phyre::PhyreOS","User Defined"
"lock","00431a20","Function","Phyre::PCriticalSectionSimple","User Defined"
"unlock","00431b80","Function","Phyre::PCriticalSectionSimple","User Defined"
"PhyrePrintf","004353f0","Function","Phyre","User Defined"
"calculateDefaultBuffer","0043c510","Function","Phyre::PClassDescriptor","User Defined"
"calculateValidationBuffer","0043c720","Function","Phyre::PClassDescriptor","User Defined"
"getFallbackObject","0043cca0","Function","Phyre::PClassDescriptor","User Defined"
"~PNamespace","0043ded0","Function","Phyre::PNamespace","User Defined"
"~PCluster","0043fb20","Function","Phyre::PCluster","User Defined"
"allocateInstanceList","00440c40","Function","Phyre::PCluster","User Defined"
"allocateInstanceListForSize","00440c70","Function","Phyre::PCluster","User Defined"
"clear","00440f80","Function","Phyre::PClusterBase","User Defined"
"deleteObject","00441310","Function","Phyre::PCluster","User Defined"
"fixupInstances","004416f0","Function","Phyre::PCluster","User Defined"
"resolveAssetReferences","00441ff0","Function","Phyre::PCluster","User Defined"
"removeCluster","00443c40","Function","Phyre::PWorld","User Defined"
"removeInstanceList","00443cf0","Function","PWorld","User Defined"
"operator+=","00444cc0","Function","Phyre::PStringBuilder","User Defined"
"addStringSegment","00444db0","Function","Phyre::PStringBuilder","User Defined"
"?","00445dc0","Function","PhyreScene","User Defined"
"GetAssetReferenceByID","0045d340","Function","Phyre::PAssetReference","User Defined"
"resolve","0045e340","Function","Phyre::PAssetReferenceImport","User Defined"
"~PFreeList","0049c680","Function","Phyre::PFreeList","User Defined"
"addItemToFreeList","0049c870","Function","Phyre::PFreeList","User Defined"
"deallocate","0049ca50","Function","Phyre::PFreeList","User Defined"
"reset","0049cce0","Function","Phyre::PFreeList","User Defined"
"~PConstantBuffer","0049fae0","Function","Phyre::PRendering::PConstantBuffer","User Defined"
"~PConstantBufferBase","0049fb40","Function","Phyre::PRendering::PConstantBufferBase","User Defined"
"PMaterial","004d7c50","Function","Phyre::PRendering::PMaterial","User Defined"
"createMaterial","004e6ba0","Function","Phyre::PRendering::PEffectVariant","User Defined"
"~PMeshInstance","004f2db0","Function","Phyre::PRendering::PMeshInstance","User Defined"
